id,title,genre,description,rating
1,3 Idiots,Drama,"A story of love, betrayal, and revenge",8.7
2,Lagaan,Adventure,An epic tale of warriors and kingdoms,9.1
3,Arjun Reddy,Mystery,"A story of love, betrayal, and revenge",8.2
4,Gully Boy,Romance,A team of explorers travels through space and time,9.4
5,Magadheera,Sci-Fi,"A story of love, betrayal, and revenge",7.9
6,Jersey,Drama,A romantic tale with unexpected twists,8.8
7,3 Idiots,Adventure,A young boy discovers his hidden powers,7.3
8,Ala Vaikunthapurramuloo,Drama,A hero rises to defeat his enemies,8.0
9,Kabir Singh,Sci-Fi,A young boy discovers his hidden powers,7.4
10,Magadheera,Thriller,An epic tale of warriors and kingdoms,9.4
11,Lagaan,Mystery,A young boy discovers his hidden powers,7.4
12,Arjun Reddy,Thriller,A young boy discovers his hidden powers,7.3
13,3 Idiots,Action,A romantic tale with unexpected twists,8.7
14,Ala Vaikunthapurramuloo,Drama,An epic tale of warriors and kingdoms,7.3
15,Swades,Romance,A young boy discovers his hidden powers,8.7
16,Swades,Mystery,A young man rises to power and avenges his family,7.3
17,Gully Boy,Drama,An epic tale of warriors and kingdoms,7.6
18,Arjun Reddy,Sports,A man fights for justice in a corrupt society,7.6
19,3 Idiots,Thriller,An epic tale of warriors and kingdoms,7.5
21,Kabir Singh,Sci-Fi,An epic tale of warriors and kingdoms,7.9
22,Arjun Reddy,Sci-Fi,A romantic tale with unexpected twists,7.4
23,Pushpa: The Rise,Adventure,A young boy discovers his hidden powers,9.2
24,Ala Vaikunthapurramuloo,Sports,A young man rises to power and avenges his family,7.8
25,Lagaan,Adventure,A man fights for justice in a corrupt society,7.0
26,RRR,Mystery,A young man rises to power and avenges his family,7.3
27,3 Idiots,Comedy,A young man rises to power and avenges his family,9.5
28,Gully Boy,Sci-Fi,"A story of love, betrayal, and revenge",8.2
29,Sholay,Thriller,A young man rises to power and avenges his family,7.5
30,PK,Drama,A young boy discovers his hidden powers,9.4
31,Chak De India,Sports,A team of explorers travels through space and time,7.6
32,Ala Vaikunthapurramuloo,Sports,"A story of love, betrayal, and revenge",9.4
33,Dilwale Dulhania Le Jayenge,Thriller,A young man rises to power and avenges his family,7.7
34,Swades,Adventure,An epic tale of warriors and kingdoms,7.3
35,Baahubali: The Beginning,Adventure,A young boy discovers his hidden powers,8.8
36,Pushpa: The Rise,Thriller,"A story of love, betrayal, and revenge",7.3
37,3 Idiots,Sci-Fi,A young boy discovers his hidden powers,8.5
38,Arjun Reddy,Romance,A man fights for justice in a corrupt society,7.5
39,Dangal,Romance,A hero rises to defeat his enemies,8.4
40,Dilwale Dulhania Le Jayenge,Crime,A team of explorers travels through space and time,7.8
41,Baahubali: The Beginning,Thriller,An epic tale of warriors and kingdoms,9.1
42,Lagaan,Adventure,A hero rises to defeat his enemies,8.3
43,Dilwale Dulhania Le Jayenge,Adventure,A romantic tale with unexpected twists,8.2
44,Gully Boy,Adventure,"A story of love, betrayal, and revenge",7.2
45,Dilwale Dulhania Le Jayenge,Crime,An epic tale of warriors and kingdoms,9.1
46,Taare Zameen Par,Drama,A man fights for justice in a corrupt society,9.1
47,Magadheera,Romance,A man fights for justice in a corrupt society,7.8
48,Swades,Drama,An epic tale of warriors and kingdoms,8.4
49,Eega,Romance,A team of explorers travels through space and time,7.1
51,Dilwale Dulhania Le Jayenge,Romance,A hero rises to defeat his enemies,8.3
52,Jersey,Thriller,"A story of love, betrayal, and revenge",7.5
53,Arjun Reddy,Mystery,A hero rises to defeat his enemies,7.0
54,Dilwale Dulhania Le Jayenge,Adventure,A young boy discovers his hidden powers,9.2
55,Magadheera,Sci-Fi,A young man rises to power and avenges his family,7.6
56,Bharat Ane Nenu,Sports,"A story of love, betrayal, and revenge",9.2
57,Swades,Sci-Fi,A romantic tale with unexpected twists,7.6
58,Baahubali: The Beginning,Mystery,An epic tale of warriors and kingdoms,8.0
59,Dangal,Crime,A young boy discovers his hidden powers,9.0
61,Dangal,Action,"A story of love, betrayal, and revenge",7.2
62,Chak De India,Sci-Fi,A young boy discovers his hidden powers,7.2
63,Ala Vaikunthapurramuloo,Action,A young boy discovers his hidden powers,7.1
64,Baahubali: The Beginning,Sci-Fi,A team of explorers travels through space and time,7.5
65,Baahubali: The Beginning,Adventure,"A story of love, betrayal, and revenge",9.2
66,Drishyam,Adventure,A team of explorers travels through space and time,8.0
67,Baahubali: The Beginning,Adventure,A team of explorers travels through space and time,8.1
68,RRR,Sci-Fi,A young man rises to power and avenges his family,7.7
69,Bharat Ane Nenu,Romance,A young man rises to power and avenges his family,7.9
70,3 Idiots,Sports,A hero rises to defeat his enemies,9.2
71,Arjun Reddy,Sports,A young boy discovers his hidden powers,8.3
74,Gully Boy,Romance,A young man rises to power and avenges his family,9.0
75,Dangal,Thriller,A team of explorers travels through space and time,7.7
76,3 Idiots,Comedy,"A story of love, betrayal, and revenge",7.9
77,Sholay,Comedy,A young man rises to power and avenges his family,7.7
78,Gully Boy,Thriller,An epic tale of warriors and kingdoms,7.8
80,Sholay,Drama,"A story of love, betrayal, and revenge",8.4
81,Taare Zameen Par,Comedy,A man fights for justice in a corrupt society,7.1
82,PK,Mystery,A man fights for justice in a corrupt society,8.2
83,3 Idiots,Thriller,A hero rises to defeat his enemies,7.7
84,Magadheera,Sports,A man fights for justice in a corrupt society,7.2
86,Chak De India,Sports,A young man rises to power and avenges his family,7.9
88,Kabir Singh,Thriller,A young man rises to power and avenges his family,7.7
89,PK,Thriller,A team of explorers travels through space and time,8.1
90,RRR,Adventure,A man fights for justice in a corrupt society,9.0
91,Arjun Reddy,Action,An epic tale of warriors and kingdoms,8.8
93,Bharat Ane Nenu,Thriller,An epic tale of warriors and kingdoms,7.7
95,Ala Vaikunthapurramuloo,Drama,A team of explorers travels through space and time,7.7
96,Eega,Sci-Fi,A young boy discovers his hidden powers,7.7
97,Baahubali: The Beginning,Sports,A man fights for justice in a corrupt society,7.9
98,Magadheera,Thriller,A team of explorers travels through space and time,8.2
99,Magadheera,Thriller,A young boy discovers his hidden powers,9.0
101,Swades,Mystery,A young boy discovers his hidden powers,7.1
104,Kabir Singh,Adventure,A romantic tale with unexpected twists,7.6
105,Pushpa: The Rise,Drama,A hero rises to defeat his enemies,9.1
106,Ala Vaikunthapurramuloo,Action,A young man rises to power and avenges his family,9.4
107,Taare Zameen Par,Sci-Fi,A young man rises to power and avenges his family,9.4
108,Gully Boy,Action,A romantic tale with unexpected twists,7.1
109,Jersey,Adventure,A team of explorers travels through space and time,9.1
111,RRR,Thriller,A team of explorers travels through space and time,8.4
112,Jersey,Sports,A man fights for justice in a corrupt society,9.2
113,Ala Vaikunthapurramuloo,Comedy,A man fights for justice in a corrupt society,9.0
114,Bharat Ane Nenu,Comedy,A man fights for justice in a corrupt society,9.4
115,Dilwale Dulhania Le Jayenge,Mystery,A young boy discovers his hidden powers,7.2
116,Dilwale Dulhania Le Jayenge,Adventure,A man fights for justice in a corrupt society,8.7
117,Gully Boy,Comedy,A team of explorers travels through space and time,7.3
118,Dilwale Dulhania Le Jayenge,Comedy,A man fights for justice in a corrupt society,7.6
119,Dangal,Thriller,A young man rises to power and avenges his family,7.1
120,Drishyam,Adventure,A young boy discovers his hidden powers,8.7
121,Pushpa: The Rise,Drama,A man fights for justice in a corrupt society,8.1
122,Jersey,Romance,A man fights for justice in a corrupt society,7.6
123,Ala Vaikunthapurramuloo,Romance,A hero rises to defeat his enemies,8.2
124,Baahubali: The Beginning,Drama,An epic tale of warriors and kingdoms,8.5
125,Lagaan,Mystery,A man fights for justice in a corrupt society,8.5
126,RRR,Crime,An epic tale of warriors and kingdoms,9.1
127,Sholay,Crime,An epic tale of warriors and kingdoms,9.0
128,Drishyam,Action,A hero rises to defeat his enemies,7.7
129,3 Idiots,Sci-Fi,A romantic tale with unexpected twists,8.7
130,Ala Vaikunthapurramuloo,Sports,A romantic tale with unexpected twists,9.3
131,Eega,Crime,A romantic tale with unexpected twists,7.0
132,RRR,Adventure,A romantic tale with unexpected twists,7.3
133,PK,Sports,"A story of love, betrayal, and revenge",7.9
134,Taare Zameen Par,Mystery,A man fights for justice in a corrupt society,9.3
135,Dilwale Dulhania Le Jayenge,Crime,A hero rises to defeat his enemies,9.4
136,Rang De Basanti,Action,An epic tale of warriors and kingdoms,9.2
137,Jersey,Mystery,"A story of love, betrayal, and revenge",7.6
138,Dilwale Dulhania Le Jayenge,Mystery,A team of explorers travels through space and time,7.7
139,Kabir Singh,Sci-Fi,A team of explorers travels through space and time,7.8
140,3 Idiots,Crime,An epic tale of warriors and kingdoms,7.3
142,Swades,Sports,A young man rises to power and avenges his family,8.6
143,Taare Zameen Par,Sci-Fi,A man fights for justice in a corrupt society,8.2
144,Rang De Basanti,Drama,A man fights for justice in a corrupt society,7.5
145,Baahubali: The Beginning,Crime,A young boy discovers his hidden powers,7.6
146,Ala Vaikunthapurramuloo,Adventure,A romantic tale with unexpected twists,8.4
147,Arjun Reddy,Mystery,A team of explorers travels through space and time,7.5
148,Jersey,Drama,A hero rises to defeat his enemies,8.6
149,Kabir Singh,Comedy,A young man rises to power and avenges his family,8.7
150,Dilwale Dulhania Le Jayenge,Sci-Fi,A young boy discovers his hidden powers,8.3
151,Sholay,Crime,A team of explorers travels through space and time,8.8
152,Chak De India,Drama,A young boy discovers his hidden powers,8.4
153,Eega,Drama,"A story of love, betrayal, and revenge",9.0
154,Bharat Ane Nenu,Comedy,A young man rises to power and avenges his family,7.2
155,PK,Romance,A young boy discovers his hidden powers,7.2
157,3 Idiots,Sports,A young boy discovers his hidden powers,9.1
158,Chak De India,Adventure,A hero rises to defeat his enemies,8.5
159,PK,Mystery,"A story of love, betrayal, and revenge",8.1
160,Chak De India,Thriller,A team of explorers travels through space and time,8.9
161,Drishyam,Action,A man fights for justice in a corrupt society,8.4
162,RRR,Action,A young man rises to power and avenges his family,8.7
163,Drishyam,Thriller,An epic tale of warriors and kingdoms,9.4
164,Baahubali: The Beginning,Drama,A romantic tale with unexpected twists,7.9
165,Eega,Thriller,A hero rises to defeat his enemies,7.4
166,Eega,Romance,An epic tale of warriors and kingdoms,8.9
167,Rang De Basanti,Comedy,A team of explorers travels through space and time,8.3
168,Baahubali: The Beginning,Thriller,A young boy discovers his hidden powers,9.0
169,Magadheera,Thriller,A romantic tale with unexpected twists,8.4
170,Ala Vaikunthapurramuloo,Sports,An epic tale of warriors and kingdoms,7.2
171,Gully Boy,Crime,A team of explorers travels through space and time,7.1
172,Magadheera,Sports,A team of explorers travels through space and time,8.6
173,Dilwale Dulhania Le Jayenge,Adventure,A hero rises to defeat his enemies,8.3
174,Jersey,Sci-Fi,An epic tale of warriors and kingdoms,7.7
175,Chak De India,Sci-Fi,"A story of love, betrayal, and revenge",8.0
176,Kabir Singh,Sports,A man fights for justice in a corrupt society,8.7
177,Pushpa: The Rise,Crime,A team of explorers travels through space and time,7.1
178,Dangal,Comedy,A young boy discovers his hidden powers,7.4
179,Swades,Sports,A hero rises to defeat his enemies,8.7
181,Chak De India,Sports,A romantic tale with unexpected twists,7.2
182,3 Idiots,Action,An epic tale of warriors and kingdoms,8.8
183,Taare Zameen Par,Sci-Fi,A romantic tale with unexpected twists,7.1
184,Taare Zameen Par,Romance,An epic tale of warriors and kingdoms,8.7
185,Dilwale Dulhania Le Jayenge,Romance,"A story of love, betrayal, and revenge",7.3
186,Taare Zameen Par,Mystery,A team of explorers travels through space and time,9.2
187,PK,Action,An epic tale of warriors and kingdoms,8.3
188,Baahubali: The Beginning,Drama,A team of explorers travels through space and time,8.1
189,Rang De Basanti,Crime,A hero rises to defeat his enemies,7.5
190,Arjun Reddy,Thriller,A team of explorers travels through space and time,8.0
191,Jersey,Comedy,A man fights for justice in a corrupt society,8.0
192,Dilwale Dulhania Le Jayenge,Thriller,A team of explorers travels through space and time,8.5
193,Baahubali: The Beginning,Crime,An epic tale of warriors and kingdoms,8.5
194,Dangal,Sci-Fi,An epic tale of warriors and kingdoms,9.1
195,Pushpa: The Rise,Sports,A team of explorers travels through space and time,9.5
196,Lagaan,Action,A young boy discovers his hidden powers,8.5
197,Gully Boy,Crime,An epic tale of warriors and kingdoms,7.5
198,Magadheera,Sci-Fi,A man fights for justice in a corrupt society,8.7
199,Ala Vaikunthapurramuloo,Crime,A man fights for justice in a corrupt society,9.1
200,Eega,Sports,An epic tale of warriors and kingdoms,7.6
201,PK,Adventure,A romantic tale with unexpected twists,7.7
202,Ala Vaikunthapurramuloo,Thriller,A hero rises to defeat his enemies,8.5
203,Jersey,Mystery,A team of explorers travels through space and time,9.1
204,Bharat Ane Nenu,Thriller,A man fights for justice in a corrupt society,8.1
205,Bharat Ane Nenu,Adventure,A romantic tale with unexpected twists,7.8
206,Jersey,Sci-Fi,A man fights for justice in a corrupt society,9.0
207,Rang De Basanti,Sci-Fi,A team of explorers travels through space and time,8.8
